bin,twi,proportion
1,1.799251675605774,0.00017862682974982842
2,3.8454233177246584,0.0014055111077683868
3,4.3392632507508795,0.00678938643250883
4,4.833103183777101,0.02058909248169075
5,5.326943116803322,0.047420722592533396
6,5.820783049829543,0.08886058019247825
7,6.314622982855764,0.1327573401524909
8,6.808462915881985,0.15190801658409092
9,7.302302848908206,0.13731389121312687
10,7.796142781934427,0.1065618722598801
11,8.289982714960647,0.07764626246862279
12,8.78382264798687,0.05611546187570707
13,9.27766258101309,0.04046681144841288
14,9.771502514039312,0.028965750655748492
15,10.265342447065532,0.025712862071883197
16,10.759182380091755,0.015737963842169096
17,11.253022313117974,0.013592874983155803
18,11.746862246144197,0.011626412953892341
19,12.240702179170416,0.009218084556300356
20,12.734542112196639,0.00798649957223575
21,13.228382045222858,0.0065418159140836285
22,13.722221978249081,0.0046035581210964556
23,14.2160619112753,0.0031792441891438762
24,14.709901844301523,0.002159190977151435
25,15.203741777327743,0.0012221835719725103
26,15.697581710353965,0.0006095248839709058
27,16.191421643380185,0.00037919028771454805
28,16.685261576406404,0.00021779938013356272
29,17.179101509432627,0.00016765851564238282
30,17.67294144245885,6.580988464467363e-05
